Fiscal_year,Problematic wild animals,Conflict_episodes,Claimed_Relief_Fund,Received_Relief_Fund
2075-2076,Elephant,540,7206124,2038100
2075-2076,Leopard,343,2604900,1387000
2075-2076,Tiger,46,825900,340000
2075-2076,Wild boar,16,112500,42000
2075-2076,Chital,1,60000,6000
2075-2076,Chital +Rhinocerous,7,99500,29500
2075-2076,Rhinocerous,1,26000,4500
2075-2076,Wolf,14,58000,49500
2075-2076,Crocodile (Mugger),0,0,0
2076-2077,Elephant,679,6690210,2474640
2076-2077,Leopard,390,3227850,1868300
2076-2077,Tiger,100,8396880,7952850
2076-2077,Wild boar,173,1741100,452000
2076-2077,Chital,0,0,0
2076-2077,Chital +Rhinocerous,0,0,0
2076-2077,Rhinocerous,8,91000,30000
2076-2077,Wolf,8,35000,27000
2076-2077,Crocodile (Mugger),0,0,0
2077-2078,Elephant,53,798359,334000
2077-2078,Leopard,128,1502874,804000
2077-2078,Tiger,35,519500,253000
2077-2078,Wild boar,39,471716,191675
2077-2078,Chital,0,0,0
2077-2078,Chital +Rhinocerous,0,0,0
2077-2078,Rhinocerous,1,49720,40500
2077-2078,Wolf,0,0,0
2077-2078,Crocodile (Mugger),0,0,0
2078-2079,Elephant,583,9476750,2921800
2078-2079,Leopard,793,8714790,5175500
2078-2079,Tiger,196,6973200,5506700
2078-2079,Wild boar,340,3480400,1193500
2078-2079,Chital,0,0,0
2078-2079,Chital +Rhinocerous,0,0,0
2078-2079,Rhinocerous,15,243000,83500
2078-2079,Wolf,0,0,0
2078-2079,Crocodile (Mugger),0,0,0
2079-2080,Elephant,258,5279428,2525600
2079-2080,Leopard,627,7638534,4316900
2079-2080,Tiger,98,3733275,2917030
2079-2080,Wild boar,262,3084400,910300
2079-2080,Chital,0,0,0
2079-2080,Chital +Rhinocerous,0,0,0
2079-2080,Rhinocerous,1,84280,78900
2079-2080,Wolf,0,0,0
2079-2080,Crocodile (Mugger),2,107000,17000