Season,Area,Type,Case
Spring,Tripureshwor,Tap Water,0
Spring,Tripureshwor,Tube-well Water,0
Spring,Tripureshwor,Dug-well Water,1
Spring,Baneshwor,Tap Water,0
Spring,Baneshwor,Tube-well Water,0
Spring,Baneshwor,Dug-well Water,1
Spring,Bansbari,Tap Water,0
Spring,Bansbari,Tube-well Water,1
Spring,Bansbari,Dug-well Water,1
Spring,Chetrapati,Tap Water,1
Spring,Chetrapati,Tube-well Water,0
Spring,Chetrapati,Dug-well Water,1
Summer,Tripureshwor,Tap Water,1
Summer,Tripureshwor,Tube-well Water,1
Summer,Tripureshwor,Dug-well Water,2
Summer,Baneshwor,Tap Water,1
Summer,Baneshwor,Tube-well Water,1
Summer,Baneshwor,Dug-well Water,2
Summer,Bansbari,Tap Water,1
Summer,Bansbari,Tube-well Water,1
Summer,Bansbari,Dug-well Water,2
Summer,Chetrapati,Tap Water,1
Summer,Chetrapati,Tube-well Water,1
Summer,Chetrapati,Dug-well Water,3
Autunm,Tripureshwor,Tap Water,0
Autunm,Tripureshwor,Tube-well Water,1
Autunm,Tripureshwor,Dug-well Water,2
Autunm,Baneshwor,Tap Water,0
Autunm,Baneshwor,Tube-well Water,1
Autunm,Baneshwor,Dug-well Water,1
Autunm,Bansbari,Tap Water,0
Autunm,Bansbari,Tube-well Water,1
Autunm,Bansbari,Dug-well Water,1
Autunm,Chetrapati,Tap Water,0
Autunm,Chetrapati,Tube-well Water,0
Autunm,Chetrapati,Dug-well Water,3
Winter,Tripureshwor,Tap Water,0
Winter,Tripureshwor,Tube-well Water,0
Winter,Tripureshwor,Dug-well Water,2
Winter,Baneshwor,Tap Water,0
Winter,Baneshwor,Tube-well Water,1
Winter,Baneshwor,Dug-well Water,2
Winter,Bansbari,Tap Water,0
Winter,Bansbari,Tube-well Water,1
Winter,Bansbari,Dug-well Water,1
Winter,Chetrapati,Tap Water,0
Winter,Chetrapati,Tube-well Water,1
Winter,Chetrapati,Dug-well Water,1